business_id,business_alias,business_name,is_closed,url,review_count,category1,rating,longitude,latitude,zip_code
tUePj-aCf8UPdu628FUBQA,hudson-animal-hospital-new-york,Hudson Animal Hospital,FALSE,https://www.yelp.com/biz/hudson-animal-hospital-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,113,vet,4.5,-73.9885778,40.772443,10023
P0nT9E9qsVZB57Qsk9C2RA,pure-paws-veterinary-care-of-hells-kitchen-new-york,Pure Paws Veterinary Care of Hell's Kitchen,FALSE,https://www.yelp.com/biz/pure-paws-veterinary-care-of-hells-kitchen-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,126,vet,4.5,-73.996128,40.7596826,10036
ad8pBftyS2LJdu73QFnhLQ,rivergate-veterinary-clinic-new-york,Rivergate Veterinary Clinic,FALSE,https://www.yelp.com/biz/rivergate-veterinary-clinic-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,77,vet,4.5,-73.97180024,40.74561896,10016
23mRF81Cw6VofmJZVTg5jg,kalvig-and-shorter-veterinary-associates-new-york-3,Kalvig & Shorter Veterinary Associates,FALSE,https://www.yelp.com/biz/kalvig-and-shorter-veterinary-associates-new-york-3?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,69,vet,4,-73.9769976,40.7494426,10016
LEruGRlgNUZ0iPG8z44JmA,york-veterinary-center-new-york,York Veterinary Center,FALSE,https://www.yelp.com/biz/york-veterinary-center-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,49,vet,4.5,-73.95488,40.7675,10021
3POXOhMmRnkA2EUndxR5Pw,worth-street-veterinary-center-new-york,Worth Street Veterinary Center,FALSE,https://www.yelp.com/biz/worth-street-veterinary-center-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,226,vet,4.5,-74.0057,40.71694,10013
EaWA6U9otZcfyk_-Lt8yfA,murray-hill-pet-hospital-new-york-3,Murray Hill Pet Hospital,FALSE,https://www.yelp.com/biz/murray-hill-pet-hospital-new-york-3?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,56,vet,4.5,-73.983531,40.744903,10016
JlR8t2H58U-J3MgS_Oy2OQ,west-chelsea-veterinary-new-york,West Chelsea Veterinary Hospital,FALSE,https://www.yelp.com/biz/west-chelsea-veterinary-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,119,vet,4,-73.99614,40.74668,10001
zOgcvlkxX2wcx5NtjWa1ew,upper-east-veterinary-new-york,Upper East Veterinary,FALSE,https://www.yelp.com/biz/upper-east-veterinary-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,93,vet,4,-73.94961,40.78373,10128
QgU9izazmFcfQzucXQHdng,city-veterinary-care-new-york,City Veterinary Care,FALSE,https://www.yelp.com/biz/city-veterinary-care-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,140,vet,4,-73.98291016,40.7788353,10023
